policy_deductable,policy_annual_premium,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,vehicle_claim,customer,Customer_age_group,have_umbrella_limit,policy_csl,insured_sex,insured_education_level,incident_severity,property_damage,police_report_available,fraud_reported,insured_occupation_armed-forces,insured_occupation_craft-repair,insured_occupation_exec-managerial,insured_occupation_farming-fishing,insured_occupation_handlers-cleaners,insured_occupation_machine-op-inspct,insured_occupation_other-service,insured_occupation_priv-house-serv,insured_occupation_prof-specialty,insured_occupation_protective-serv,insured_occupation_sales,insured_occupation_tech-support,insured_occupation_transport-moving,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_Rear Collision,collision_type_Side Collision,authorities_contacted_Fire,authorities_contacted_None,authorities_contacted_Other,authorities_contacted_Police
1000,1397.67,57900,0,0,3,1,2,56480,0,0,1,2.5,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
500,823.17,0,0,3,3,2,2,43050,0,0,1,2.5,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
500,965.13,60000,-54800,21,3,0,1,34000,0,1,1,1.0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1000,1922.84,0,-45200,0,1,2,1,32760,1,0,1,5.0,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
2000,1624.82,65300,-65600,16,1,1,1,52080,0,0,1,2.5,1,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
2000,1277.25,84900,0,14,1,1,2,48440,0,0,1,2.5,0,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1000,1439.34,45300,-20400,9,1,0,0,2870,0,0,1,1.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
1000,1281.27,68900,0,9,3,0,3,52400,0,1,1,2.5,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
500,1348.83,46300,-77500,21,3,1,2,55360,0,0,1,5.0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
1000,1198.15,0,-43200,19,3,0,2,49040,0,0,1,2.5,0,6,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2000,1221.22,76000,0,2,1,0,1,37840,0,0,1,1.0,1,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
2000,968.74,0,-49000,9,1,2,3,3760,0,0,1,5.0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
1000,1220.71,58600,-28700,5,1,2,1,5040,0,0,1,2.5,1,7,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2000,1238.62,0,-56200,14,1,2,3,49560,1,1,0,2.5,1,6,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
2000,1320.75,54100,0,20,3,0,3,35490,0,0,1,5.0,0,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
500,990.98,0,-57900,18,1,2,1,76400,0,0,1,1.0,0,5,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
500,1398.51,0,-57100,13,3,2,0,44800,0,0,0,5.0,1,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
500,1355.08,58100,0,21,1,1,1,37840,0,0,1,1.0,0,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1000,1384.51,13100,-38200,14,1,2,3,53760,0,1,1,1.0,1,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
500,847.03,0,0,1,1,1,0,77760,0,0,1,2.5,0,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
1000,1000.06,0,0,17,1,1,0,60160,0,0,1,1.0,0,7,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
1000,1046.71,0,0,4,3,2,1,32040,0,0,1,1.0,1,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
500,1158.03,31900,-44600,23,3,1,3,44010,0,0,1,2.5,1,2,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1000,1372.27,17600,0,13,3,2,3,42160,0,0,1,1.0,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1000,1053.04,52000,-44500,20,3,1,3,36160,0,0,0,1.0,0,4,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1000,1275.39,0,0,16,1,2,3,37280,0,0,1,1.0,1,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
2000,1402.75,0,0,10,3,2,1,50470,0,0,1,1.0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
500,1344.36,0,0,8,1,2,3,4550,0,0,0,2.5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1000,1197.71,29000,0,17,3,2,0,52160,0,0,1,1.0,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
500,1203.24,62500,-66900,9,1,2,0,4340,0,1,1,1.0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
1000,1152.4,39600,-82400,0,1,2,3,3920,0,0,1,5.0,0,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
2000,1142.62,0,-54000,12,1,2,0,52650,0,0,0,5.0,0,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1000,1332.07,49700,-59100,20,2,2,1,59580,0,0,1,5.0,0,6,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1000,1166.54,47700,-59300,3,1,2,0,75530,0,1,1,5.0,0,4,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
500,1495.06,38100,-31400,18,3,2,0,63630,0,0,1,2.5,0,4,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1000,1337.92,71400,0,4,3,2,2,44640,0,1,1,5.0,0,7,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2000,1587.96,0,-26900,18,1,2,1,45360,1,1,1,2.5,0,5,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
1000,1362.29,0,-51100,18,3,0,0,44800,0,0,1,5.0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
500,1448.84,0,-50000,7,1,0,1,4620,0,0,1,2.5,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
2000,1241.97,75400,0,18,1,1,0,5360,0,0,1,2.5,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
500,1124.6,0,0,23,3,0,0,31840,0,0,1,2.5,1,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2000,1079.92,88800,0,1,1,0,1,40200,0,1,1,2.5,1,2,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1000,1447.78,35100,-59900,15,3,1,0,34930,0,1,1,2.5,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
500,1229.16,0,-88300,2,3,0,2,29600,1,0,0,2.5,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1000,1226.49,53900,0,3,1,0,1,4270,0,0,1,1.0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
2000,897.89,0,-41300,13,1,1,0,47760,0,0,0,1.0,1,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
500,1706.79,0,0,1,1,1,1,59920,0,0,1,1.0,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1000,1254.18,0,-45100,16,1,0,1,39830,0,0,1,2.5,0,7,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
500,885.08,27000,-58900,0,1,0,1,58950,0,0,1,5.0,0,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
500,1046.58,0,-31700,1,1,2,1,3600,0,0,0,1.0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
2000,1712.68,72200,0,17,3,2,0,35770,0,0,1,5.0,1,5,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
2000,1097.71,29600,-22300,13,1,2,3,67200,0,0,1,5.0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
500,1363.77,51100,0,12,1,2,3,57890,0,1,0,2.5,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
500,1382.88,0,-30300,11,1,1,1,59520,0,1,0,1.0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1000,1141.35,0,0,18,1,0,2,43920,0,0,0,1.0,1,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
500,1054.83,0,-51300,17,1,2,3,64480,0,0,0,5.0,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2000,1057.77,0,-57700,22,3,1,1,13500,0,0,1,1.0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2000,1488.02,0,-39200,9,1,1,3,3850,0,0,1,2.5,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
500,920.3,51000,-67900,11,3,1,0,53760,0,1,0,1.0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1000,986.53,62700,0,11,1,0,2,64820,0,1,1,5.0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
2000,1440.68,25000,0,8,1,0,1,3430,0,0,1,2.5,1,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1000,1086.21,68500,-57500,18,1,1,2,39270,0,0,1,2.5,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
2000,1367.68,0,0,13,1,0,3,38850,0,0,1,1.0,0,6,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1000,1215.85,42900,-90200,8,1,1,1,5120,1,0,1,5.0,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
2000,1191.19,29300,0,9,3,0,1,35140,0,1,0,2.5,1,6,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1000,1594.45,0,0,17,2,2,3,41760,0,0,1,5.0,1,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2000,1463.07,0,0,3,1,1,1,4240,0,0,1,2.5,1,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
500,1734.09,0,0,6,1,0,3,3900,0,0,1,2.5,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
500,1411.43,45100,-32800,17,1,2,1,41580,0,0,1,2.5,1,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2000,1512.58,47600,0,7,1,1,1,1960,0,0,1,1.0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
2000,1153.35,0,0,9,1,2,1,3840,0,0,1,2.5,1,7,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
500,1722.95,63100,-13800,3,1,2,0,61360,0,0,1,2.5,1,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
2000,1281.07,0,0,6,1,0,2,4440,0,0,0,2.5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
500,1011.92,0,0,7,3,0,3,50050,0,0,1,1.0,1,7,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
2000,1042.26,0,0,21,3,1,2,12720,0,0,1,2.5,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
500,1235.1,66400,-34400,14,1,2,1,43520,0,0,1,5.0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
2000,768.91,0,-39300,0,1,1,0,47840,0,0,1,1.0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
500,1301.72,0,0,14,3,0,3,57600,0,1,1,5.0,1,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
500,1451.54,0,0,13,4,2,3,43380,0,0,0,2.5,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
500,767.14,25500,-36700,8,1,0,1,6160,0,0,1,2.5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
2000,1620.89,0,0,7,1,2,0,4080,0,1,1,2.5,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
2000,1048.46,59900,0,9,1,1,2,5310,0,0,1,5.0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
1000,1538.26,62200,-31400,12,3,2,3,21450,0,0,0,1.0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2000,1217.69,24000,0,6,3,1,0,34020,1,0,1,5.0,0,6,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2000,1362.64,0,0,11,1,1,3,61020,0,0,0,1.0,0,1,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
1000,1279.13,0,0,5,3,1,2,58960,0,0,1,1.0,1,7,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2000,924.72,0,0,14,1,2,2,47340,0,1,1,1.0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1000,1019.44,0,-39700,17,1,2,1,5040,0,1,1,2.5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
500,1314.6,24800,0,0,1,2,3,51120,0,0,1,5.0,0,6,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
1000,1515.18,0,0,21,3,1,0,41670,0,0,0,1.0,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
2000,1649.18,0,-58600,18,1,1,2,44640,0,0,1,2.5,1,3,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
500,1451.01,47800,0,17,1,2,2,19670,0,0,1,2.5,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1000,978.46,0,0,19,1,0,0,31220,0,0,1,5.0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
500,1198.34,53000,-72500,17,3,1,1,44380,0,0,0,2.5,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
2000,1003.23,0,0,23,3,0,3,51920,0,0,1,1.0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
2000,1212.0,24400,-60500,4,1,0,1,51450,0,0,1,5.0,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1000,1242.96,0,-37100,2,2,2,0,68400,0,0,0,2.5,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1000,1053.02,0,0,2,1,0,2,30310,0,0,1,5.0,0,5,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
500,1693.63,0,-64000,10,3,1,3,45920,0,0,1,1.0,0,6,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1000,2047.59,0,-67800,2,1,0,3,57840,0,0,1,2.5,0,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
1000,1083.72,65600,-68200,18,1,0,2,43920,0,0,1,1.0,0,2,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
1000,1138.42,36900,-55000,18,1,2,3,24400,0,0,0,5.0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
500,1072.62,39900,-60200,7,4,2,1,55280,0,0,1,2.5,0,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2000,1219.04,63600,-68700,19,3,2,0,50750,0,0,1,1.0,1,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2000,1371.78,0,-32500,10,3,0,2,37520,0,1,1,1.0,1,1,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2000,1506.21,0,-24400,16,3,1,0,57420,0,0,1,1.0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
1000,1058.21,0,0,17,1,1,1,31990,0,0,0,1.0,1,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2000,932.14,40600,0,2,3,2,3,57200,0,1,1,5.0,1,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
2000,1608.34,33300,-10600,19,1,1,1,51680,0,0,1,5.0,0,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
1000,1728.56,54000,0,0,1,1,1,31770,0,0,1,5.0,0,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1000,1518.46,0,0,16,1,0,0,42800,0,0,1,2.5,0,6,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2000,1540.19,0,-74500,20,1,2,0,58960,0,0,1,1.0,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2000,965.21,36900,-53700,10,1,2,1,5040,0,0,1,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
2000,1278.75,53200,-53800,21,3,2,2,43600,0,0,1,1.0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1000,773.99,0,-70300,3,1,1,2,2240,0,1,1,2.5,1,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
1000,1532.47,60300,-24700,7,1,0,3,52780,0,0,1,5.0,0,5,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
1000,1340.56,0,0,19,1,0,2,45220,1,1,1,2.5,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
500,1297.75,0,-41400,15,3,0,1,68310,0,0,0,1.0,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1000,433.33,25900,0,7,1,0,3,4130,0,1,1,2.5,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
2000,1025.54,0,-52600,19,1,1,3,51280,0,1,1,2.5,0,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
500,1264.77,47500,-32500,13,2,0,1,40320,0,1,1,2.5,0,5,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
500,1459.97,0,0,2,3,1,2,58800,0,1,0,2.5,1,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
500,1238.65,0,-44600,5,1,1,1,6120,0,0,1,1.0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
500,1050.76,41500,-70200,21,1,2,3,41720,0,0,1,2.5,1,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0
1000,1711.72,0,0,21,3,2,2,46000,1,1,1,5.0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
500,865.33,0,0,7,3,0,1,39360,0,0,0,1.0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
500,1153.49,0,0,16,3,1,0,35350,0,0,1,2.5,1,5,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2000,1281.25,0,0,13,1,0,1,38460,0,0,1,5.0,1,5,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
500,1342.8,0,0,2,1,1,3,4620,0,0,1,1.0,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
2000,1443.32,0,0,19,3,0,2,37170,0,1,1,2.5,0,7,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
1000,1629.94,0,-47100,17,1,0,1,3150,0,1,1,2.5,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
2000,1134.08,0,0,3,1,2,0,47200,0,0,1,1.0,1,7,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
500,1483.91,0,-33600,17,3,0,1,49420,0,0,0,2.5,1,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2000,1304.67,0,-45000,5,3,1,1,44720,0,0,0,5.0,1,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2000,1035.79,44400,-51500,9,1,1,0,41920,0,1,1,5.0,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
